uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"8f0fb6f7-8dea-4e82-bf98-4f79be3582b5","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00208",,,"sapling","Live",1.7,10,1.3,,,,,,,"cylinder",,,,,,,,"legacyData"
"17be44dd-b8b8-4a82-a409-bd06517e57a5","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00217",,,"sapling","Live",1.6,10,1.4,,,,,,,,,,,,,,,"legacyData"
"a87708bf-c544-445f-ae7f-7b37ae3eb706","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00160",,,"sapling","Live",1.3,10,0.9,,,,,,,,,,,,"No transcription error found.",,,"legacyData"
"39a331d5-3f6f-4549-b7c7-26f0e7c9afa8","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00211",,,"sapling","Live",2.0,10,1.5,,,,,,,,,,,,,,,"legacyData"
"9745516a-8684-4153-8597-121df4fe77e8","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00201",,,"sapling","Live",1.5,10,1.3,,,,,,,,,,,,,,,"legacyData"
"b5e416c8-c46c-44cf-a8be-008d8b582e50","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00189",,,"sapling","Live",1.1,10,1.0,,,,,,,,,,,,,,,"legacyData"
"8ff47aa0-4945-415d-8a5b-ccf4c862ba78","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00177",,,"small shrub","Live",1.9,10,1.4,,,,0.7,0.6,,"inverted cone",,,,,,,,"legacyData"
"f71081bb-4c21-48f5-b71a-2aa556ace18e","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00200",,,"sapling","Live",1.2,10,1.2,,,,,,,,,,,,,,,"legacyData"
"a827cc2d-e6ac-4f79-8b54-2e9fc915cf0e","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00193",,,"sapling","Live",1.5,10,1.2,,,,,,,,,,,,,,,"legacyData"
"4f1fef57-b176-441e-87ce-48491d4e1911","WOOD_014.basePlot.vst","2014-10-02","vst_WOOD_2014","D09","WOOD","WOOD_014",,"NEON.PLA.D09.WOOD.00178",,,"sapling","Live",2.0,10,1.5,,,,,,,,,,,,,,,"legacyData"
