uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"a1115b9b-557e-46b0-a7e7-3ed92418c75a","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00213",,,"small tree",,9.1,130,4.2,,,,3.1,1.2,"Open grown",,,,,,,,,"legacyData | noMapTagData"
"59ddf652-6386-4b57-a89e-6b7cdbf2e3cf","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00217",,,"small tree",,4.4,130,0.1,,,,0.7,0.5,"Open grown",,,,,,,,,"legacyData | noMapTagData"
"24ddca63-3f0a-421e-8edf-f9fed7725152","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00215",,,"small tree",,7.9,120,1.2,,,,1.5,1.1,"Open grown",,,,,,"branched at 130; No transcription errors found",,,"legacyData | noMapTagData"
"765a4722-bd4e-41dd-b306-abeec1f5934c","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00218",,,"small tree",,4.3,130,0.3,,,,1.0,0.5,"Open grown",,,,,,,,,"legacyData | noMapTagData"
"1ca1cabc-4011-449e-96ce-5deddb2a0f1d","DSNY_028.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_028",,"NEON.PLA.D03.DSNY.00228",,,,,5.4,130,1.0,,,,1.4,0.7,"Full sun",,,,,,,,,"legacyData | noMapTagData"
"53a5b090-28e6-461f-8199-cf5765a7fb36","DSNY_028.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_028",,"NEON.PLA.D03.DSNY.00227",,,,,5.8,125,0.7,,,,1.2,0.8,"Full sun",,,,,,"branch at 130; No transcription errors found",,,"legacyData | noMapTagData"
"789a1b7b-2304-4d9f-a8df-fab94654c7cf","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00220",,,"small tree",,4.8,130,0.7,,,,1.4,0.9,"Open grown",,,,,,,,,"legacyData | noMapTagData"
"a00ae566-d9e2-44f8-b10e-e89060b039cb","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00211",,,"small tree",,5.8,130,1.5,,,,1.1,0.9,"Open grown",,,,,,"No transcription errors found",,,"legacyData | noMapTagData"
"613721b4-cff0-49d3-bb5a-dc2747096627","DSNY_028.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_028",,"NEON.PLA.D03.DSNY.00229",,,,,35.5,130,9.8,,,,10.7,10.0,"Open grown",,,,,,"Subplot ID changed from 40 to 41",,,"legacyData | noMapTagData"
"7c3403ed-a9ef-479a-902b-2a06824780b2","DSNY_028.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_028",,"NEON.PLA.D03.DSNY.00223",,,,,10.3,130,4.2,,,,2.7,2.3,"Full sun",,,,,,"No transcription errors found",,,"legacyData | noMapTagData"
"2622047f-e057-4f98-808e-918774ef1332","DSNY_028.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_028",,"NEON.PLA.D03.DSNY.00224",,,,,7.0,130,2.8,,,,2.2,1.5,"Full sun",,,,,,,,,"legacyData | noMapTagData"
"b16ecb47-91ad-40d4-b014-0f5c35b36ce2","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00219",,,"small tree",,4.9,130,0.2,,,,1.3,0.8,"Open grown",,,,,,,,,"legacyData | noMapTagData"
"ee1c982f-baef-4367-a5d7-2c426ced3e8e","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00222",,,"small tree",,4.7,130,0.2,,,,1.4,0.9,"Open grown",,,,,,"No transcription errors found",,,"legacyData | noMapTagData"
"0c9cea04-4143-472b-a594-d5fad8ea6b8b","DSNY_028.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_028",,"NEON.PLA.D03.DSNY.00226",,,,,14.2,130,9.6,,,,3.3,2.7,"Full sun",,,,,,,,,"legacyData | noMapTagData"
"fb47e49a-43be-4002-96a4-1dc05bb285b0","DSNY_028.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_028",,"NEON.PLA.D03.DSNY.00225",,,,,4.6,130,0.5,,,,1.0,1.0,"Full sun",,,,,,"No transcription errors found",,,"legacyData | noMapTagData"
"aa867cc3-9989-4833-aa1a-cebbdb79fae2","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00216",,,"small tree",,4.5,130,0.3,,,,0.8,0.6,"Open grown",,,,,,,,,"legacyData | noMapTagData"
"540e4952-cc4e-462d-9ded-16ba98549e06","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00221",,,"small tree",,7.1,130,2.0,,,,2.8,1.4,"Open grown",,,,,,,,,"legacyData | noMapTagData"
"6a186c16-96d0-4d84-9df2-e5c1812e3211","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00214",,,"small tree",,5.9,130,1.7,,,,1.2,1.0,"Open grown",,,,,,,,,"legacyData | noMapTagData"
"bc286021-30d3-441a-b6c9-b4ea352cc74b","DSNY_023.basePlot.vst","2014-10-14","vst_DSNY_2014","D03","DSNY","DSNY_023",,"NEON.PLA.D03.DSNY.00212",,,"small tree",,5.0,130,0.7,,,,1.0,0.9,"Open grown",,,,,,,,,"legacyData | noMapTagData"
"a14c01ec-33f6-483b-ae0b-16bea1b12bb9","DSNY_031.basePlot.vst","2014-10-15","vst_DSNY_2014","D03","DSNY","DSNY_031",,"NEON.PLA.D03.DSNY.00230",,,,,8.8,130,1.7,,,,3.0,2.3,"Open grown",,,,,,"No transcription errors found",,,"legacyData | noMapTagData"
