uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"0ca0f3bc-4e25-480e-bfaf-326f072886d7","WOOD_006.basePlot.vst","2014-10-01","D09","WOOD","WOOD_006","distributed","grasslandHerbaceous",47.142318,-99.247173,"WGS84",20.1,481258.49,5221009.22,"14N",590.3,0.2,"vst_WOOD_2014","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"No Qualifying Stems","D09AJF17",,"legacyData"
"a2b81f24-1178-4501-8cf2-ae8cc4cc1e13","WOOD_005.basePlot.vst","2014-10-01","D09","WOOD","WOOD_005","distributed","grasslandHerbaceous",47.149339,-99.251928,"WGS84",20.1,480900.47,5221790.61,"14N",590.3,0.2,"vst_WOOD_2014","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"No Qualifying Stems","D09AJF17",,"legacyData"
"42979002-d724-409f-8945-ab40d82b834c","WOOD_001.basePlot.vst","2014-10-02","D09","WOOD","WOOD_001","distributed","grasslandHerbaceous",47.128258,-99.257768,"WGS84",20.2,480449.99,5219449.35,"14N",596.3,0.2,"vst_WOOD_2014","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"No Qualifying Stems","D09AJF17",,"legacyData"
"ac85309d-ba5c-4c4c-a428-5ecc252e288a","WOOD_004.basePlot.vst","2014-10-02","D09","WOOD","WOOD_004","distributed","grasslandHerbaceous",47.125840,-99.253801,"WGS84",20.1,480749.99,5219179.65,"14N",594.1,0.2,"vst_WOOD_2014","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"No Qualifying Stems, No transcription errors found","D09AJF17",,"legacyData"
"6f569972-11cd-4bf8-ad78-f46cf77aaa3d","WOOD_011.basePlot.vst","2014-10-02","D09","WOOD","WOOD_011","distributed","grasslandHerbaceous",47.129592,-99.263721,"WGS84",20.1,479998.99,5219599.10,"14N",602.2,0.2,"vst_WOOD_2014","NEON.DOC.000987vD",,,,,,,"noneSelected","noneSelected",400,400,400,"No Qualifying Stems","D09AJF17",,"legacyData"
