uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"48b08335-31cb-4d20-9160-1635a5480420","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02173",,"ok","small shrub","Live",,,0.9,0.1,,,0.9,0.5,,"ellipsoid or sphere",1.8,10,,,,"0000-0001-5523-6326","0000-0002-4801-9849",
"f1ed93a6-de82-4be5-b8a5-7afeefe74078","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02166",,"ok","small shrub","Live",,,0.8,,,,0.9,0.6,,"half-sphere",4.6,10,,,,"0000-0001-5523-6326","0000-0002-4801-9849",
"617a5332-9f61-44e3-9474-b54001672d55","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02189",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"67e9fc13-9606-46e0-a426-ac456f41b39b","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02160",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"8738f3a9-6b24-4df5-a5c8-ae55b8dd67be","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02129",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"2f66ccaf-c65f-49cc-a051-d25c882767c0","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02128",,"ok","small shrub","Live",,,0.8,,,,0.6,0.5,,"half-sphere",1.8,10,,,,"0000-0001-5523-6326","0000-0002-4801-9849",
"48177891-da6e-44a3-9fb2-8d8b0ba24118","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02125",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"c003024b-6352-4de3-8fa8-c26a3c3fa21e","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02167",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
"eede96b5-d404-47a5-95f9-bf7a99a0fa5d","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02187",,"ok","small shrub","Standing dead",,,0.7,,,,1.2,0.5,,"columnar",1.2,10,,,,"0000-0001-5523-6326","0000-0002-4801-9849",
"7e5a0bf1-3750-4f3b-b88e-3b0c5c558399","ONAQ_057.basePlot.vst","2019-10-09","vst_ONAQ_2019","D15","ONAQ","ONAQ_057",,"NEON.PLA.D15.ONAQ.02133",,"ok",,"No longer qualifies",,,,,,,,,,,,,,,"Downsized nested to 1.73","0000-0001-5523-6326","0000-0002-4801-9849",
