uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempShrubStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF
"362a2aaf-9f15-47b3-80e0-6a56d9c922ed","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48021",,"notRequired","sapling","Standing dead",,,1.1,,,,,,,,1.3,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"a34ab262-760e-4184-89f7-1d01f3adb0fe","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"NEON.PLA.D03.JERC.03436",,"ok","single bole tree","Live, insect damaged",45.9,130,21.0,,,,,,,,,,,,"Possible fusiform","0000-0002-1429-6928","0000-0001-5833-8133",
"c309299d-2c26-4c5d-8853-b5e148910377","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48051",,"notRequired","sapling","Live, insect damaged",,,0.9,,,,,,,,1.1,10,,,"Galls.","0000-0002-1429-6928","0000-0001-5833-8133",
"cf34b53f-7e2a-442f-b10f-8d2976f650f6","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48005",,"notRequired","sapling","Standing dead",,,1.1,,,,,,,,1.5,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"3ce6f91f-084a-48a0-b76c-4c764d865a81","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48039",,"notRequired","sapling","Standing dead",,,1.0,,,,,,,,1.0,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"2922392b-6eca-458f-9880-bb342fc9585f","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48045",,"notRequired","sapling","Live",,,1.2,,,,,,,,1.0,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"a1fb8955-3a7c-4d86-812e-219cb1ee8b37","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48002",,"notRequired","sapling","Standing dead",,,1.6,,,,,,,,2.4,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"bce7d6a5-ca73-4ec7-8460-a2fe5b6a6b9c","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48020",,"notRequired","sapling","Standing dead",,,0.9,,,,,,,,1.5,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"c1fc2eac-a648-4087-b810-cfb7eed3074d","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48030",,"notRequired","sapling","Standing dead",,,1.0,,,,,,,,1.1,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"0d8c7c99-e93c-4095-981f-889885d99b38","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48015",,"notRequired","sapling","Live",,,0.5,,,,,,,,1.0,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"01a6dddc-fbbf-40b6-8f25-acc933b2f608","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48050",,"notRequired","sapling","Live, insect damaged",,,0.9,,,,,,,,1.2,10,,,"Galls.","0000-0002-1429-6928","0000-0001-5833-8133",
"9a5cf931-9311-488a-88bb-e017ea9823e5","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48010",,"notRequired","sapling","Live",,,0.8,,,,,,,,1.4,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"2a2072cd-9925-49cf-9129-f2c1104aa428","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48047",,"notRequired","sapling","Live, insect damaged",,,0.8,,,,,,,,1.1,10,,,"Galls.","0000-0002-1429-6928","0000-0001-5833-8133",
"71125df0-7ccd-47e5-85bc-991ebc4f91ce","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48004",,"notRequired","sapling","Live",,,0.8,,,,,,,,1.3,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"879c0a41-01cd-4b40-b4e5-c84626d70832","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"NEON.PLA.D03.JERC.03437",,"ok","single bole tree","Live",39.9,130,19.3,,,,,,,,,,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"93c28694-e176-4c67-90a9-5b1d9c7ac92a","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48019",,"notRequired","sapling","Standing dead",,,0.7,,,,,,,,1.3,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"ae1d7672-7ab5-4a64-a696-bfb7c4302187","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48022",,"notRequired","sapling","Standing dead",,,2.1,,,,,,,,2.2,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"08fc523f-07fb-4982-9081-7f035f4d3944","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48025",,"notRequired","sapling","Standing dead",,,1.2,,,,,,,,1.7,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"9c400157-fcf4-47f6-8ca9-ed84875f6c46","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48053",,"notRequired","sapling","Standing dead",,,1.5,,,,,,,,1.6,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"4ac76f8b-c96b-4f5d-bd48-e134b8b5af43","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48014",,"notRequired","sapling","Live",,,0.7,,,,,,,,1.3,10,,,"Stem buried up to 20cm in soil; stem measured 10 cm from top of soil.","0000-0002-1429-6928","0000-0001-5833-8133",
"8d5460e3-7465-4b52-9cf4-855dc2333fc1","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48049",,"notRequired","sapling","Live, insect damaged",,,0.7,,,,,,,,1.1,10,,,"Galls.","0000-0002-1429-6928","0000-0001-5833-8133",
"3e436818-a53b-40ac-b751-cc3e5fb1cb3b","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48003",,"notRequired","sapling","Standing dead",,,1.1,,,,,,,,1.6,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"a9dab291-5830-4b01-b87b-aacfbc8a1ce4","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48023",,"notRequired","sapling","Standing dead",,,0.8,,,,,,,,1.1,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"bec783e8-f8d2-444b-9f0b-beb63f3e810f","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"NEON.PLA.D03.JERC.03443",,"ok","single bole tree","Live",34.3,130,24.7,,,,,,,,,,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"9527305d-9349-4266-9d9d-c51626a89717","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48029",,"notRequired","sapling","Live",,,0.9,,,,,,,,1.1,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"3def07de-ea10-4081-9c01-d4d42c31a379","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48026",,"notRequired","sapling","Standing dead",,,1.0,,,,,,,,1.9,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"1b40716f-27b8-4b35-9122-ddd4bfb59dc0","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48046",,"notRequired","sapling","Live",,,0.7,,,,,,,,1.0,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"ea632ca5-1206-4697-8372-3c85c5d21ec6","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"NEON.PLA.D03.JERC.03442",,"ok","single bole tree","Live",56.0,130,23.9,,,,,,,,,,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"50ce41ba-4be3-4120-81d1-ad39c7e84da3","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48024",,"notRequired","sapling","Standing dead",,,0.9,,,,,,,,1.0,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"56853d0a-5f96-4c89-b477-e7cd5cc2350a","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48027",,"notRequired","sapling","Standing dead",,,0.7,,,,,,,,1.2,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"f97c32f0-dfcd-40a4-89bf-cbf836386522","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48048",,"notRequired","sapling","Live, insect damaged",,,0.8,,,,,,,,1.0,10,,,"Galls","0000-0002-1429-6928","0000-0001-5833-8133",
"0e47dd60-129d-4d93-be9c-abfd6a7df9b4","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48032",,"notRequired","sapling","Live, insect damaged",,,0.9,,,,,,,,1.5,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"9df05ecb-847e-4438-8848-c18dffe97b0b","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48013",,"notRequired","sapling","Live",,,0.9,,,,,,,,1.2,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"af83946b-8bfe-4d11-858e-3b03244583e9","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48028",,"notRequired","sapling","Standing dead",,,1.0,,,,,,,,1.5,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"f3d0310c-b3bb-44a9-95e6-9d0d88a27697","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48038",,"notRequired","sapling","Standing dead",,,1.5,,,,,,,,2.2,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"81b2100b-c81e-4b74-9470-e00e9e5ae2ad","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48052",,"notRequired","sapling","Live",,,1.0,,,,,,,,1.3,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"0800d31d-4e1d-48f5-a917-bcf0ab652bf0","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48041",,"notRequired","sapling","Standing dead",,,0.7,,,,,,,,1.2,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"c17518d9-2cdd-4ad7-bfec-98151635ecc4","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48035",,"notRequired","sapling","Live, insect damaged",,,1.0,,,,,,,,1.3,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"16c2c8fd-049f-40b0-82f5-3ec427645d7c","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48040",,"notRequired","sapling","Live,  other damage",,,0.7,,,,,,,,1.0,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"e5a38b90-5e5e-466d-9535-cd7e44e3a588","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48031",,"notRequired","sapling","Standing dead",,,1.1,,,,,,,,1.6,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"d35fe24c-8a31-4e16-9313-2e6ae16ba382","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"NEON.PLA.D03.JERC.03440",,"ok","single bole tree","Live, physically damaged",36.7,130,21.8,,,,,,,,,,,,"Likely fire damage at base","0000-0002-1429-6928","0000-0001-5833-8133",
"aab5ab35-6b76-4fa3-9c81-df235f13a047","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48033",,"notRequired","sapling","Standing dead",,,0.9,,,,,,,,1.4,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"5386f16c-0dc4-46e0-b026-707819f34dc0","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48034",,"notRequired","sapling","Live, insect damaged",,,0.7,,,,,,,,1.2,10,,,,"0000-0002-1429-6928","0000-0001-5833-8133",
"622c4fd8-2731-404c-bd04-70ee8ef805df","JERC_048.basePlot.vst","2019-03-06","vst_JERC_2018","D03","JERC","JERC_048",,"TEMP.PLA.JERC.2018.48007",,"notRequired","sapling","Live, physically damaged",,,0.7,,,,,,,,1.1,10,,,"Damage to the top of the main stem.","0000-0002-1429-6928","0000-0001-5833-8133",
