uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"6f6c0358-01c1-48ae-ae91-0cd5506b43aa","MLBS_014.basePlot.vst","2018-10-02","D07","MLBS","MLBS_014","distributed","deciduousForest",37.417096,-80.557334,"WGS84",20.2,539170.60,4141235.76,"17N",788.5,0.3,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"6216bf4b-f2a4-47e4-b631-76df630c6257","MLBS_015.basePlot.vst","2018-10-02","D07","MLBS","MLBS_015","distributed","deciduousForest",37.414692,-80.568193,"WGS84",20.1,538210.93,4140964.60,"17N",790.9,0.2,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"b7b8dd77-149b-470c-949f-1a7da5d5da87","MLBS_001.basePlot.vst","2018-10-03","D07","MLBS","MLBS_001","distributed","deciduousForest",37.360694,-80.524985,"WGS84",20.2,542064.62,4134992.36,"17N",1312.6,0.3,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"4d01eecd-69b2-477f-a8ac-e3017c11c459","MLBS_011.basePlot.vst","2018-10-03","D07","MLBS","MLBS_011","distributed","deciduousForest",37.359447,-80.521145,"WGS84",20.2,542405.37,4134855.74,"17N",1287.8,0.3,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,,,
"7e8153e0-09c4-40fe-bb17-15a21d3126ce","MLBS_017.basePlot.vst","2018-10-03","D07","MLBS","MLBS_017","distributed","deciduousForest",37.358817,-80.526049,"WGS84",20.1,541971.44,4134783.65,"17N",1318.1,0.1,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"af132965-edcf-49d9-a7cc-cef21794525c","MLBS_012.basePlot.vst","2018-10-04","D07","MLBS","MLBS_012","distributed","deciduousForest",37.357282,-80.522507,"WGS84",20.1,542285.97,4134614.94,"17N",1285.7,0.2,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"9f41fb79-6b0a-4041-adc4-4fe76c023374","MLBS_002.basePlot.vst","2018-10-04","D07","MLBS","MLBS_002","distributed","deciduousForest",37.372044,-80.524241,"WGS84",20.2,542124.15,4136251.88,"17N",1177.5,0.2,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,,,
"bec8caba-4814-4eec-ba2a-72ccba92d79a","MLBS_064.basePlot.vst","2018-10-15","D07","MLBS","MLBS_064","tower","deciduousForest",37.375560,-80.520162,"WGS84",20.2,542483.33,4136643.77,"17N",1179.4,0.2,"vst_MLBS_2018","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"1a896e21-340e-479c-b82c-e97a673cadc3","MLBS_004.basePlot.vst","2018-10-16","D07","MLBS","MLBS_004","distributed","deciduousForest",37.429337,-80.511885,"WGS84",20.2,543185.28,4142613.65,"17N",895.5,0.3,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"386014e7-5604-4b8b-b02b-2973a1dc2fc3","MLBS_008.basePlot.vst","2018-10-16","D07","MLBS","MLBS_008","distributed","deciduousForest",37.426855,-80.499073,"WGS84",20.2,544320.28,4142344.24,"17N",942.2,0.2,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"a4cede7a-6ed9-4b6f-be10-21551b11bb64","MLBS_018.basePlot.vst","2018-10-16","D07","MLBS","MLBS_018","distributed","deciduousForest",37.426262,-80.489213,"WGS84",20.2,545193.02,4142283.13,"17N",978.8,0.2,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"79c0389d-3d24-4944-9043-45edc3765b93","MLBS_020.basePlot.vst","2018-10-17","D07","MLBS","MLBS_020","distributed","deciduousForest",37.427124,-80.568442,"WGS84",20.1,538182.58,4142343.73,"17N",789.1,0.1,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"bda53a5d-bf18-4243-812c-336078b2a91f","MLBS_007.basePlot.vst","2018-10-17","D07","MLBS","MLBS_007","distributed","deciduousForest",37.427935,-80.571833,"WGS84",20.2,537882.15,4142432.34,"17N",810.3,0.2,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"93f2e989-826c-42d0-8316-11a606cc0cd2","MLBS_006.basePlot.vst","2018-10-17","D07","MLBS","MLBS_006","distributed","deciduousForest",37.426796,-80.564062,"WGS84",20.2,538570.28,4142309.12,"17N",779.0,0.3,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"00405000-4c46-433f-bb6f-159f4638be16","MLBS_061.basePlot.vst","2018-10-18","D07","MLBS","MLBS_061","tower","deciduousForest",37.376621,-80.519800,"WGS84",20.2,542514.78,4136761.65,"17N",1170.0,0.3,"vst_MLBS_2018","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
"f898cfff-adce-46c0-903e-07d2d8d682cc","MLBS_013.basePlot.vst","2018-10-18","D07","MLBS","MLBS_013","distributed","deciduousForest",37.432503,-80.559607,"WGS84",20.2,538961.48,4142944.10,"17N",820.1,0.5,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"1ed779e4-320a-4a31-95b4-42f94ff5181b","MLBS_072.basePlot.vst","2018-10-22","D07","MLBS","MLBS_072","tower","deciduousForest",37.375296,-80.525227,"WGS84",20.2,542035.04,4136612.22,"17N",1171.4,0.3,"vst_MLBS_2018","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","N",,"noneSelected","noneSelected",800,800,800,,,,
"a354dbd2-55f2-4fd1-bb27-508d4c032415","MLBS_070.basePlot.vst","2018-10-24","D07","MLBS","MLBS_070","tower","deciduousForest",37.375569,-80.526578,"WGS84",20.2,541915.27,4136641.90,"17N",1168.6,0.3,"vst_MLBS_2018","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","N",,"noneSelected","noneSelected",800,800,800,,,,
"b0b73fee-564c-485a-9012-a36a0dbeeea7","MLBS_076.basePlot.vst","2018-10-24","D07","MLBS","MLBS_076","tower","deciduousForest",37.376386,-80.521186,"WGS84",20.3,542392.21,4136734.95,"17N",1172.0,0.3,"vst_MLBS_2018","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","N",,"noneSelected","noneSelected",800,800,800,,,,
"bfc2e947-42f8-4a60-97e1-fd9c628ae88a","MLBS_068.basePlot.vst","2018-10-25","D07","MLBS","MLBS_068","tower","deciduousForest",37.375868,-80.528297,"WGS84",20.2,541762.91,4136674.31,"17N",1167.9,0.3,"vst_MLBS_2018","NEON.DOC.000987vG","Y","presentInAll","Y","presentInAll","N",,"noneSelected","noneSelected",800,800,800,,,,
"91c8c0d8-9999-409b-9f08-feedc7dbd074","MLBS_067.basePlot.vst","2018-10-30","D07","MLBS","MLBS_067","tower","deciduousForest",37.378560,-80.527270,"WGS84",20.2,541852.34,4136973.42,"17N",1171.6,0.4,"vst_MLBS_2018","NEON.DOC.000987vE","Y","presentInAll","Y","presentInAll","N",,"100","noneSelected",800,400,800,,,,
