uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,samplingProtocolVersion,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"61adbef5-8312-46e0-8e4f-c2486c6da257","MLBS_014.basePlot.vst","2018-09-13","D07","MLBS","MLBS_014","distributed","deciduousForest",37.417096,-80.557334,"WGS84",20.2,539170.60,4141235.76,"17N",788.5,0.3,"vst_MLBS_2018","NEON.DOC.000987vE","Y",,"Y",,"N",,"3","noneSelected",400,24,400,,,,
"1832a3d8-72ad-4209-bb66-b92e768beda9","MLBS_015.basePlot.vst","2018-09-13","D07","MLBS","MLBS_015","distributed","deciduousForest",37.414692,-80.568193,"WGS84",20.1,538210.93,4140964.60,"17N",790.9,0.2,"vst_MLBS_2018","NEON.DOC.000987vE","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"8e221d3e-63d6-4ed1-b2f0-9bb90713bd58","MLBS_009.basePlot.vst","2018-09-24","D07","MLBS","MLBS_009","distributed","deciduousForest",37.374427,-80.518481,"WGS84",20.2,542632.81,4136518.84,"17N",1178.9,0.2,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,,,
"974a2ad8-2ba9-425f-9682-870f2dcf0211","MLBS_010.basePlot.vst","2018-09-25","D07","MLBS","MLBS_010","distributed","deciduousForest",37.365557,-80.526339,"WGS84",20.2,541942.01,4135531.27,"17N",1239.2,0.2,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"839691e9-36d0-4fd9-97fa-b530629d34e5","MLBS_003.basePlot.vst","2018-09-25","D07","MLBS","MLBS_003","distributed","deciduousForest",37.368524,-80.526977,"WGS84",20.2,541883.86,4135860.15,"17N",1224.8,0.2,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"70378169-4222-4b0d-9f3e-729f7ee61e04","MLBS_005.basePlot.vst","2018-09-25","D07","MLBS","MLBS_005","distributed","deciduousForest",37.363102,-80.521592,"WGS84",20.3,542363.73,4135261.03,"17N",1268.7,0.4,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"a9c3f2df-1080-4be6-9b83-f4e3d6fdbcb1","MLBS_016.basePlot.vst","2018-09-27","D07","MLBS","MLBS_016","distributed","deciduousForest",37.415017,-80.574951,"WGS84",20.2,537612.74,4140997.94,"17N",764.1,0.4,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,,,
"abeb1f3d-197e-4c59-88c7-7e29ec7fd23c","MLBS_019.basePlot.vst","2018-09-27","D07","MLBS","MLBS_019","distributed","deciduousForest",37.424353,-80.551222,"WGS84",20.2,539707.61,4142043.42,"17N",788.0,0.4,"vst_MLBS_2018","NEON.DOC.000987vG","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,,,
